Park_Name,Park_Region,January,February,March,April,May,June,July,August,September,October,November,December
Acadia ,Northeast ,4897,4747,6974,13651,33695,65743,99069,101424,79451,60261,9108,4727
Arches ,Intermountain ,9872,14677,47401,59083,73696,74871,73381,65658,70500,58690,30006,16450
Badlands ,Midwest ,6427,6504,10662,13410,39212,77261,91826,79645,56216,18258,9636,6059
Big Bend ,Intermountain ,11919,15138,25220,16213,13363,7561,7068,6098,7314,12392,16607,14388
Biscayne ,Southeast ,3633,3858,4200,3489,4851,2897,2517,1836,2969,1989,4295,4839
Black Canyon of the Gunnison ,Intermountain ,2120,1944,3237,7035,17726,19117,18281,20975,18719,12717,7096,1583
Bryce Canyon ,Intermountain ,11375,12335,34491,54568,79697,80361,85147,83599,84258,66317,27761,17326
Canyonlands ,Intermountain ,3407,6788,24320,36175,44995,35606,26644,27629,37799,33179,15179,6240
Capitol Reef ,Intermountain ,10667,13719,51841,90040,121690,93686,90773,80683,109840,94168,33641,17134
Carlsbad Caverns ,Intermountain ,6624,8941,21240,16438,20846,23572,28478,13096,14234,17692,12920,10187
Congaree ,Southeast ,2645,3653,6804,5339,7365,4784,3614,4300,3048,4138,3988,3627
Crater Lake ,Pacific West ,1685,1851,3408,7219,17899,49011,74456,62785,44193,18337,5267,2525
Cuyahoga Valley ,Midwest ,41014,39039,50720,75154,88288,110041,122598,111726,93205,83235,54040,40382
Death Valley ,Pacific West ,27641,34390,54043,42919,40423,29619,42348,51067,46244,42272,37271,36212
Everglades ,Southeast ,5314,4387,9334,7810,4971,3482,1457,5443,4941,5596,8803,10093
Glacier ,Intermountain ,5151,4898,7943,14538,64444,196024,320639,273857,159616,30596,8035,5511
Grand Canyon ,Intermountain ,80372,82697,166492,170533,198951,208242,224689,206556,195094,180467,119212,107509
Grand Teton ,Intermountain ,110819,103302,121658,105704,275623,486944,589024,538510,451672,216886,93797,106151
Great Basin ,Pacific West ,2368,4057,11954,13734,26394,35355,43289,34010,42663,20572,6494,4595
Great Sand Dunes,Intermountain ,1829,2326,7258,8844,21838,30568,28593,22894,19499,12444,4498,2644
Great Smoky Mountains ,Southeast ,795779,878138,1165336,1047554,916684,1154731,1509119,1151574,1422956,1770203,1356146,1025466
Guadalupe Mountains ,Midwest ,3770,6304,11923,8154,8317,6708,5915,5722,5806,8681,8586,5886
Haleakala ,Pacific West ,33898,31865,35524,33234,34676,34313,37630,33457,32696,23810,22390,31517
Hawaii Volcanoes ,Pacific West ,75118,71094,76551,69423,58079,54569,61462,58469,51765,62129,60582,69442
Hot Springs ,Midwest ,174276,204996,250010,228346,242725,287129,252171,261658,255111,246911,205891,208180
Indiana Dunes ,Midwest ,26790,32307,52273,46682,64601,104088,149635,119322,101573,44837,31664,23497
Joshua Tree ,Pacific West ,70140,71917,107671,89370,65730,38925,36969,39066,43031,63483,76115,79272
Kenai Fjords ,Alaska,0,0,0,23,5511,13160,17766,15190,6830,1390,0,0
Kings Canyon ,Pacific West ,7181,5635,8074,13875,29245,40231,51620,44410,35028,22069,11759,8280
Lassen Volcanic ,Pacific West ,3185,2512,2678,4746,11975,27889,46938,41448,32405,23016,3460,2905
Mesa Verde ,Intermountain ,2325,2827,8090,13176,25114,32162,35204,28118,28058,18732,5569,3925
Mount Rainier ,Pacific West ,10396,8585,11769,14707,64719,116896,211859,212832,120723,67240,25511,11914
North Cascades ,Pacific West ,7,4,10,42,274,769,1582,1659,1212,210,25,13
Olympic ,Pacific West ,42537,47629,53070,85063,121569,167005,177259,199537,125365,65685,50860,35850
Petrified Forest ,Intermountain ,11434,13706,30847,29813,37958,40502,38671,30151,30650,32575,18073,14931
Pinnacles ,Pacific West ,3756,5443,7926,8235,7334,6535,5192,5072,5372,5469,6004,5338
Redwood ,Pacific West ,14614,11270,16401,15748,23867,27968,25663,19768,18063,19082,13067,14763
Rocky Mountain ,Intermountain ,30036,28425,45098,47075,92748,224885,290017,250544,260115,120921,43673,30389
Saguaro ,Intermountain ,301102,297646,336494,299832,298146,271585,280488,278304,267681,294202,293830,302527
Sequoia ,Pacific West ,14471,14361,24122,30823,44649,55278,70049,64848,49424,34539,21273,19321
Shenandoah ,Northeast ,10363,11937,21729,44742,59909,65701,72743,70246,63409,98883,52864,12597
Theodore Roosevelt ,Midwest ,1527,1507,3628,6510,29528,46288,59733,55111,38193,22948,7384,1527
Wind Cave ,Midwest ,17210,21990,28361,28517,33157,79898,77722,62326,49344,33258,21847,17194
Yellowstone ,Intermountain ,55406,54767,63923,78564,263543,439714,536072,478552,381590,167449,59630,52595
Yosemite ,Pacific West ,61094,68884,90522,119505,185169,257281,315985,278968,264777,203917,97685,95115
Zion ,Intermountain ,46853,54166,118147,138223,161724,157804,161367,147093,157300,140050,88809,60198
