park_name,park_code,region,state,year,Total
Acadia,ACAD,Northeast ,ME,1919,"64,000"
Acadia,ACAD,Northeast ,ME,1920,"66,500"
Acadia,ACAD,Northeast ,ME,1921,"69,836"
Acadia,ACAD,Northeast ,ME,1922,"73,779"
Acadia,ACAD,Northeast ,ME,1923,"64,200"
Acadia,ACAD,Northeast ,ME,1924,"71,758"
Acadia,ACAD,Northeast ,ME,1925,"73,673"
Acadia,ACAD,Northeast ,ME,1926,"101,256"
Acadia,ACAD,Northeast ,ME,1927,"123,699"
Acadia,ACAD,Northeast ,ME,1928,"134,897"
Acadia,ACAD,Northeast ,ME,1929,"149,554"
Acadia,ACAD,Northeast ,ME,1930,"154,734"
Acadia,ACAD,Northeast ,ME,1931,"162,238"
Acadia,ACAD,Northeast ,ME,1932,"237,596"
Acadia,ACAD,Northeast ,ME,1933,"262,712"
Acadia,ACAD,Northeast ,ME,1934,"275,956"
Acadia,ACAD,Northeast ,ME,1935,"316,114"
Acadia,ACAD,Northeast ,ME,1936,"340,393"
Acadia,ACAD,Northeast ,ME,1937,"383,036"
Acadia,ACAD,Northeast ,ME,1938,"394,319"
Acadia,ACAD,Northeast ,ME,1939,"396,468"
Acadia,ACAD,Northeast ,ME,1940,"382,084"
Acadia,ACAD,Northeast ,ME,1941,"409,961"
Acadia,ACAD,Northeast ,ME,1942,"36,544"
Acadia,ACAD,Northeast ,ME,1943,"8,246"
Acadia,ACAD,Northeast ,ME,1944,"12,916"
Acadia,ACAD,Northeast ,ME,1945,"20,200"
Acadia,ACAD,Northeast ,ME,1946,"382,390"
Acadia,ACAD,Northeast ,ME,1947,"434,069"
Acadia,ACAD,Northeast ,ME,1948,"420,846"
Acadia,ACAD,Northeast ,ME,1949,"438,584"
Acadia,ACAD,Northeast ,ME,1950,"485,220"
Acadia,ACAD,Northeast ,ME,1951,"518,556"
Acadia,ACAD,Northeast ,ME,1952,"549,075"
Acadia,ACAD,Northeast ,ME,1953,"556,195"
Acadia,ACAD,Northeast ,ME,1954,"553,800"
Acadia,ACAD,Northeast ,ME,1955,"655,000"
Acadia,ACAD,Northeast ,ME,1956,"735,500"
Acadia,ACAD,Northeast ,ME,1957,"858,900"
Acadia,ACAD,Northeast ,ME,1958,"816,500"
Acadia,ACAD,Northeast ,ME,1959,"755,900"
Acadia,ACAD,Northeast ,ME,1960,"1,638,200"
Acadia,ACAD,Northeast ,ME,1961,"1,574,600"
Acadia,ACAD,Northeast ,ME,1962,"1,601,500"
Acadia,ACAD,Northeast ,ME,1963,"1,864,800"
Acadia,ACAD,Northeast ,ME,1964,"2,011,600"
Acadia,ACAD,Northeast ,ME,1965,"1,733,600"
Acadia,ACAD,Northeast ,ME,1966,"2,158,400"
Acadia,ACAD,Northeast ,ME,1967,"2,102,000"
Acadia,ACAD,Northeast ,ME,1968,"2,303,300"
Acadia,ACAD,Northeast ,ME,1969,"2,489,800"
Acadia,ACAD,Northeast ,ME,1970,"2,776,300"
Acadia,ACAD,Northeast ,ME,1971,"2,101,100"
Acadia,ACAD,Northeast ,ME,1972,"2,285,881"
Acadia,ACAD,Northeast ,ME,1973,"2,394,000"
Acadia,ACAD,Northeast ,ME,1974,"2,335,800"
Acadia,ACAD,Northeast ,ME,1975,"2,380,500"
Acadia,ACAD,Northeast ,ME,1976,"2,353,300"
Acadia,ACAD,Northeast ,ME,1977,"2,734,600"
Acadia,ACAD,Northeast ,ME,1978,"2,684,933"
Arches,ARCH,Intermountain ,UT,1929,500
Arches,ARCH,Intermountain ,UT,1930,400
