park_name,park_code,region,state,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acadia,ACAD,Northeast ,ME,2787366,2779666,2997972,3572114,4124639,3734763,3745570,3929054,4288154,4502283,5440952,2339591,2475857,2382113,2656034,2710749,2845378,2704831,2760306,2594497,2602227,2469238,2516551,2558572,2431062,2207847,2051484,2083588,2202228,2075857,2227698,2504208,2374645,2431052,2254922,2563129,2811184,3303393,3509271,3537575,3437286
Arches,ARCH,Intermountain ,UT,269840,290519,326508,339415,287875,345180,363464,419444,468916,520455,555809,620719,705882,799831,773678,777178,859374,856016,858525,837161,869980,786429,754026,769672,757781,733131,781670,833049,860181,928795,996312,1014405,1040758,1070577,1082866,1284767,1399247,1585718,1539028,1663557,1659702
Badlands,BADL,Midwest ,SD,858000,952652,1175952,1030484,1026981,1113675,950242,1025630,1174398,1110040,1237956,1326475,1518396,1205297,1179458,1130459,1075569,1024705,970696,1021049,950453,1105824,955469,908898,871034,936030,909146,840118,886654,845734,933918,977778,870741,883406,892372,868094,989354,996263,1054325,1008942,970998
Big Bend,BIBE,Intermountain ,TX,282941,174008,167332,180144,164926,167665,188045,200622,227921,239595,281728,257378,296470,294535,327907,330417,295460,279454,305882,338442,327649,262320,328927,327747,312384,357723,398583,298717,364856,362512,363905,372330,361862,292055,316953,314102,381747,388290,440276,440091,463832
Biscayne,BISC,Southeast ,FL,202938,248071,305502,348219,369082,340567,460921,578013,607968,531036,589957,573376,488134,307512,19950,25147,584519,338603,392069,403239,442585,393151,489343,513397,490031,478304,563728,608836,517442,686062,437745,467612,476077,495613,486848,525745,508164,514709,446961,469253,708522
Black Canyon of the Gunnison,BLCA,Intermountain ,CO,234286,336119,266604,227428,291618,253048,266012,289117,285439,269073,288586,275323,316336,337209,319322,214194,221113,200125,209863,193451,200142,191506,181018,173687,167247,175581,180814,160450,219576,160185,171451,176344,168336,192570,175852,183045,209166,238018,307143,308962,432818
Bryce Canyon,BRCA,Intermountain ,UT,558095,571541,474092,471517,472633,495104,500782,578018,718342,791348,808045,862659,929067,1018174,1107951,1028134,994548,1269600,1174824,1166331,1081521,1099275,1068619,886436,903760,987253,1017681,890676,1012563,1043321,1216377,1285492,1296000,1385352,1311875,1435741,1745804,2365110,2571684,2679478,2594904
Canyonlands,CANY,Intermountain ,UT,74545,56505,89915,97079,100022,102533,116672,172987,172384,212100,257411,276831,339315,395698,434844,429921,448769,447527,432697,436524,446160,401558,368592,367078,386986,371706,393381,392537,417560,436715,436241,435908,473773,452952,462242,542431,634607,776218,742271,739449,733996
Capitol Reef,CARE,Intermountain ,UT,288860,342788,397789,289486,331734,296230,320503,383742,428808,469556,515278,562477,618056,675837,610707,605324,648864,678012,625680,656026,680153,612656,527760,525646,535441,549708,550255,511511,554907,604811,617208,662661,668834,673345,663670,786514,941029,1064904,1150165,1227627,1226519
Carlsbad Caverns,CAVE,Intermountain ,NM,721647,672963,771766,781963,712247,712989,732482,752552,781300,786135,792378,747016,679450,688742,687161,617087,588609,557217,540797,522076,514418,469303,455621,476259,457631,419599,413786,407367,409560,400381,432639,428524,365000,381058,388566,397309,445720,466773,520026,465912,440691
